Date (MM/DD/YYYY),Destination Airport,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date
01/05/2017,ORD,23.0,0.0,0.0,0.0,0.0,0.0,2017-01-05
01/05/2017,PHX,-3.0,10.0,0.0,80.0,0.0,0.0,2017-01-05
01/05/2018,CLT,288.0,8.0,0.0,0.0,0.0,263.0,2018-01-05
01/05/2018,DFW,136.0,66.0,0.0,0.0,0.0,23.0,2018-01-05
01/05/2018,MIA,134.0,1.0,0.0,0.0,0.0,104.0,2018-01-05
01/05/2018,ORD,11.0,0.0,0.0,0.0,0.0,0.0,2018-01-05
01/05/2018,PHX,144.0,97.0,0.0,0.0,0.0,0.0,2018-01-05
01/05/2019,CLT,45.0,0.0,0.0,0.0,0.0,16.0,2019-01-05
01/05/2019,DFW,134.0,77.0,0.0,0.0,0.0,22.0,2019-01-05
01/05/2019,MIA,38.0,0.0,0.0,0.0,0.0,0.0,2019-01-05
01/05/2019,ORD,-3.0,0.0,0.0,0.0,0.0,0.0,2019-01-05
01/05/2019,PHX,38.0,32.0,0.0,24.0,0.0,20.0,2019-01-05
01/06/2017,CLT,2.0,0.0,0.0,99.0,0.0,3.0,2017-01-06
01/06/2017,DFW,245.0,143.0,74.0,78.0,0.0,29.0,2017-01-06
01/06/2017,MIA,23.0,15.0,0.0,70.0,0.0,11.0,2017-01-06
01/06/2017,ORD,24.0,0.0,0.0,0.0,0.0,0.0,2017-01-06
01/06/2017,PHX,3.0,0.0,0.0,0.0,0.0,0.0,2017-01-06
01/06/2018,CLT,106.0,30.0,0.0,0.0,0.0,18.0,2018-01-06
01/06/2018,DFW,105.0,22.0,0.0,0.0,0.0,0.0,2018-01-06
01/06/2018,MIA,76.0,0.0,0.0,0.0,0.0,0.0,2018-01-06
01/06/2018,ORD,2.0,0.0,0.0,0.0,0.0,0.0,2018-01-06
01/06/2018,PHX,24.0,0.0,0.0,0.0,0.0,0.0,2018-01-06
01/06/2019,CLT,16.0,0.0,0.0,0.0,0.0,0.0,2019-01-06
01/06/2019,DFW,27.0,0.0,0.0,0.0,0.0,23.0,2019-01-06
01/06/2019,MIA,34.0,0.0,0.0,0.0,0.0,0.0,2019-01-06
01/06/2019,ORD,-4.0,0.0,0.0,0.0,0.0,0.0,2019-01-06
01/06/2019,PHX,0.0,4.0,0.0,24.0,0.0,2.0,2019-01-06
01/07/2017,CLT,136.0,45.0,60.0,130.0,0.0,35.0,2017-01-07
01/07/2017,DFW,147.0,36.0,112.0,18.0,0.0,0.0,2017-01-07
01/07/2017,MIA,-14.0,0.0,0.0,126.0,0.0,0.0,2017-01-07
01/07/2017,ORD,94.0,0.0,7.0,9.0,0.0,87.0,2017-01-07
01/07/2017,PHX,36.0,12.0,20.0,39.0,0.0,1.0,2017-01-07
01/07/2018,CLT,-4.0,0.0,0.0,0.0,0.0,0.0,2018-01-07
01/07/2018,DFW,-3.0,0.0,0.0,0.0,0.0,0.0,2018-01-07
01/07/2018,MIA,32.0,0.0,0.0,0.0,0.0,0.0,2018-01-07
01/07/2018,ORD,132.0,15.0,93.0,21.0,0.0,29.0,2018-01-07
01/07/2018,PHX,43.0,0.0,0.0,0.0,0.0,0.0,2018-01-07
01/07/2019,CLT,-27.0,0.0,0.0,0.0,0.0,0.0,2019-01-07
01/07/2019,DFW,-13.0,3.0,0.0,16.0,0.0,0.0,2019-01-07
01/07/2019,MIA,-12.0,0.0,0.0,0.0,0.0,0.0,2019-01-07
01/07/2019,ORD,-21.0,0.0,0.0,0.0,0.0,0.0,2019-01-07
01/07/2019,PHX,-4.0,0.0,0.0,20.0,0.0,0.0,2019-01-07
01/08/2017,CLT,273.0,113.0,0.0,6.0,0.0,94.0,2017-01-08
01/08/2017,DFW,326.0,147.0,0.0,0.0,0.0,50.0,2017-01-08
01/08/2017,MIA,244.0,212.0,0.0,24.0,0.0,7.0,2017-01-08
01/08/2017,ORD,36.0,17.0,0.0,15.0,0.0,3.0,2017-01-08
01/08/2017,PHX,121.0,87.0,0.0,0.0,0.0,0.0,2017-01-08
01/08/2018,CLT,-8.0,0.0,0.0,0.0,0.0,0.0,2018-01-08
01/08/2018,DFW,16.0,0.0,0.0,0.0,0.0,0.0,2018-01-08
01/08/2018,MIA,30.0,3.0,0.0,0.0,0.0,34.0,2018-01-08
01/08/2018,ORD,67.0,0.0,0.0,0.0,0.0,40.0,2018-01-08
01/08/2018,PHX,55.0,9.0,0.0,11.0,0.0,32.0,2018-01-08
01/08/2019,CLT,-23.0,0.0,0.0,45.0,0.0,0.0,2019-01-08
01/08/2019,DFW,-2.0,6.0,0.0,9.0,0.0,0.0,2019-01-08
01/08/2019,MIA,-11.0,0.0,0.0,0.0,0.0,0.0,2019-01-08
