Date (MM/DD/YYYY),Destination Airport,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date
01/01/2019,PHX,19.0,21.0,0.0,3.0,0.0,0.0,2019-01-01
01/01/2019,RSW,-3.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,SAN,11.0,0.0,0.0,27.0,0.0,0.0,2019-01-01
01/01/2019,SAT,-6.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,SEA,-17.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,SFO,14.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,SJC,-7.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,SJU,-3.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,SLC,9.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,SNA,-4.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,STT,-6.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/01/2019,TPA,-25.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
01/02/2017,ATL,56.0,17.0,0.0,10.0,0.0,1.0,2017-01-02
01/02/2017,AUS,16.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
01/02/2017,BOS,4.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
01/02/2017,CHS,-2.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
01/02/2017,DEN,38.0,14.0,0.0,20.0,0.0,22.0,2017-01-02
01/02/2017,DTW,-8.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
01/02/2017,FLL,19.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
01/02/2017,HNL,23.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
01/02/2017,JAC,38.0,38.0,0.0,14.0,0.0,0.0,2017-01-02
01/02/2017,JAX,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
01/02/2017,LAS,52.0,51.0,0.0,56.0,0.0,0.0,2017-01-02
01/02/2017,LAX,17.0,13.0,0.0,153.0,0.0,0.0,2017-01-02
01/02/2017,MCO,284.0,124.0,0.0,56.0,0.0,40.0,2017-01-02
01/02/2017,MIA,49.0,41.0,0.0,0.0,0.0,11.0,2017-01-02
01/02/2017,MSP,62.0,23.0,0.0,14.0,0.0,37.0,2017-01-02
01/02/2017,MSY,130.0,4.0,0.0,0.0,0.0,54.0,2017-01-02
01/02/2017,PBI,-9.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
01/02/2017,PDX,22.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
01/02/2017,PHX,-8.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
01/02/2017,RSW,1.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
01/02/2017,SAN,-1.0,0.0,0.0,22.0,0.0,0.0,2017-01-02
01/02/2017,SEA,35.0,20.0,0.0,7.0,0.0,0.0,2017-01-02
01/02/2017,SFO,134.0,0.0,0.0,258.0,0.0,11.0,2017-01-02
01/02/2017,SJU,32.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
01/02/2017,SLC,-1.0,0.0,0.0,78.0,0.0,0.0,2017-01-02
01/02/2017,STT,10.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
01/02/2017,TPA,6.0,0.0,0.0,0.0,0.0,0.0,2017-01-02
01/02/2018,ATL,-7.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,AUS,90.0,39.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,BOS,148.0,116.0,0.0,0.0,0.0,0.0,2018-01-02
